resolution,time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
12,0.6,0.9817928890909354,-24.63122846134299,-7.700306737856891e-09,-7.700306865772594e-09,24.882636995228896,0.05934413679387867,-0.047007169989745516,0.012336966804133154,6.278169984052823e-07,0.7499787382277181,0.23181352304621897
16,0.6,0.8800017369383093,-21.269215795532343,-3.563358930322414e-10,-3.563384140602831e-10,21.58828187448748,0.11602934554080799,-0.04355319218249355,0.07247615335831444,7.862827646049775e-06,0.6989602496758639,0.18103362443479937
20,0.6,0.9636675353896854,-23.915134865050117,-7.200795111795177e-12,-7.2010068514728375e-12,24.263977779812226,0.05594829153012881,-0.04631587038432789,0.009632421145800922,1.1091831273686996e-08,0.3344213323848139,0.6292461919130403
