time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
0.0,0.9999999999999999,-24.99999987630397,2.3448983529601056e-16,2.496242346336581e-16,25.359999863906157,0.3575665860793902,-0.04778520210391341,0.3097813839754768,4.187073955531852e-13,0.5978959281656291,0.402104071833952
0.01,0.9965920088018392,-24.88462442868083,2.7329517910521623e-16,1.8354061575329142e-16,25.243769292728373,0.3564122584254394,-0.047679967016647964,0.30873229140879144,1.235946358224167e-09,0.5935822514220875,0.40300975614380524
0.02,0.9934949606788948,-24.779519011644425,4.1853494704969277e-16,2.6911319804444154e-16,25.13789373660131,0.3553537347212747,-0.04758539037471003,0.30776834434656464,4.983636202200472e-09,0.5895790682856807,0.4039158874095777
0.03,0.9906660651471656,-24.683226888022077,4.00214814461471e-16,2.0711495703861978e-16,25.040905118181502,0.3543780770722669,-0.04750005564062368,0.3068780214316432,1.129406537527689e-08,0.5858436600693314,0.40482239378376894
0.04,0.9880707030449342,-24.594576695892375,3.925738119301842e-16,1.9460539114070045e-16,24.951622858201752,0.35347484893096587,-0.04742280913785856,0.3060520397931073,2.021099037070618e-08,0.582341467349105,0.40572921548483876
0.05,0.9856804714282144,-24.512612783851328,5.577339485233373e-16,2.183678989013649e-16,24.869083710786008,0.3526355013355487,-0.04735269855114335,0.30528280278440534,3.1772168103980595e-08,0.5790441372164397,0.40663630243960674
0.06,0.983471776974292,-24.436545439639705,6.35642752757993e-16,2.116435089056557e-16,24.79249163008411,0.3518529371412334,-0.04728892834440731,0.3045640087968261,4.6010043822799e-08,0.5759281185204008,0.4075436124438473
0.07,0.9814248029215976,-24.36571456567308,4.0009724689515203e-16,1.7275838156394526e-16,24.72118117857539,0.35112119462505026,-0.04723082679396956,0.3038903678310807,6.295232939345446e-08,0.5729736302532009,0.40845110971606735
0.08,0.9795227365393101,-24.299562668597165,5.80918909506401e-16,5.105485162297351e-17,24.654590315969088,0.35043521314193393,-0.04717782118446974,0.3032573919574642,8.262249131440528e-08,0.5701638901653094,0.4093587637515093
0.09,0.9777511822616549,-24.237614444052973,5.949853907458677e-16,2.617099185983068e-16,24.592239831032344,0.3497906564579055,-0.04712941886256432,0.3026612375953412,1.0504016428827855e-07,0.5674845288144801,0.4102665484070105
0.1,0.9760977097166829,-24.179461125162486,6.348025133028249e-16,2.6411776409963775e-16,24.5337175719693,0.34918377746063534,-0.04708519257369787,0.30209858488693747,1.3022150327035093e-07,0.5649231383304948,0.41117444116468455
0.11,0.974551501466767,-24.124748333611194,5.967521376004378e-16,1.6102275287930116e-16,24.478666205237346,0.34861131310579585,-0.04704476898305698,0.30156654412273887,1.5817948452485418e-07,0.5624689207521053,0.41208242253517696
0.12,0.9731030755867797,-24.073166547079367,5.700846497743144e-16,1.9002767459351368e-16,24.426773610161785,0.34807040182787385,-0.04700781959865272,0.3010625822292211,1.8892416427872995e-07,0.5601124110919371,0.41299047557067836
0.13,0.9717440651663687,-24.02444354836294,8.028528014720999e-16,1.4323492506489151e-16,24.377765270067517,0.3475585178930709,-0.046974053529850214,0.30058446436322067,2.2246290198935593e-07,0.5578452572385634,0.4138985854649031
0.14,0.9704670416160031,-23.978338393756133,8.933431192878985e-16,2.3256996802862477e-16,24.331398194102512,0.34707341870235103,-0.04694321166395172,0.3001302070383993,2.588005539706887e-07,0.5556600435929754,0.4148067392224739
0.15,0.9692653720198039,-23.93463655842729,7.676517470596657e-16,3.0977155060029225e-16,24.287456024951513,0.34661310211336877,-0.046915061948859034,0.29969804016450974,2.979396420944643e-07,0.5535501486960759,0.4157149253840861
0.16,0.9681331031805893,-23.893146001876964,7.608585443661136e-16,2.288536720176632e-16,24.245745073615744,0.34617577159773133,-0.04688939554559744,0.2992863760521339,3.3988050145322516e-07,0.551509629503282,0.4166231337968061
0.17,0.967064866747476,-23.85369395824213,9.026089312331362e-16,3.0375613932559905e-16,24.206091084561056,0.3457598075855914,-0.0468660236698171,0.29889378391577426,3.84621410199088e-07,0.5495331267049386,0.41753135542112724
0.18,0.9660558011033511,-23.816124301483043,9.6782464173335e-16,3.7741230973098116e-16,24.168336580143382,0.3453637437388414,-0.04684477498241162,0.29851896875642975,4.3215870422776344e-07,0.547615786776502,0.41843958216814464
0.19,0.9651014866520865,-23.780295369203046,1.0476077021861551e-15,4.880296850101459e-16,24.13233866718457,0.34498624718106546,-0.046825493420219085,0.2981607537608464,4.824868789335852e-07,0.5457531974036564,0.4193478067615511
0.2,0.9641978918742171,-23.74607815428218,1.0067396358087253e-15,5.085715257380581e-16,24.097967214192213,0.34462610192652915,-0.04680803638120567,0.2978180655453235,5.35598679899862e-07,0.5439413336553266,0.42025602262021067
0.21,0.9633413280776671,-23.71335479290602,9.278691846740683e-16,6.896799403992469e-16,24.065103327262612,0.34428219491220036,-0.0467922731965347,0.2974899217156657,5.914851840924568e-07,0.5421765128346061,0.42116422375787693
