packet_width,time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
1.5,1.75,0.9975233526003074,-24.11180892770476,-5.426999436674096e-10,-5.426997891752132e-10,24.21729670190124,0.28773168221431167,-0.04951434728660114,0.23821733492771052,5.510175390930976e-06,0.6383111635116203,0.35920667891329594
2.5,1.75,0.9542748695409036,-22.79686128810353,-1.554028799194135e-14,-1.6323468303811243e-14,23.050956506996034,0.18232428825850827,-0.04799912817595704,0.13432516008255124,1.5060435781582644e-07,0.5175352081464726,0.4367395107900732
3.5,1.75,0.8835342521212014,-20.64461405567168,-2.0355529618418726e-14,-2.1774363547968465e-14,21.107304973863492,0.1452176134650529,-0.04550738675573421,0.0997102267093187,1.711122068945963e-07,0.42742112267968335,0.45611295832931126
4.5,1.75,0.8224514716283082,-18.68435056378821,-4.073976237056961e-14,-4.018180179676843e-14,19.409262186234926,0.12553993060297367,-0.04363574795106362,0.08190418265191005,3.3446923003883036e-06,0.35636474569897053,0.4660833812370374
5.5,1.75,0.7760054424753446,-17.081853620346582,-7.632735972175602e-13,-7.642023419707451e-13,18.12534976688061,0.11346159380926422,-0.042637766180387615,0.07082382762887661,5.792944225737448e-05,0.3030952391169573,0.47285227391613005
