dt,time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
0.02,3.5,0.9157903184288627,-20.844058225641856,-2.528799939904303e-14,-2.5028275662950996e-14,21.218171433975435,0.16334882963466407,-0.04878665662814584,0.11456217300651823,1.4522812420535407e-07,0.3417883641746354,0.574001809026103
0.015,3.0,0.916843171001742,-21.10558057102273,-2.532909466507818e-14,-2.5726485539129867e-14,21.47246071217099,0.1627769940410641,-0.048175881564860946,0.11460111247620317,2.0467637745679218e-07,0.3787010061742718,0.5381419601510925
0.01,2.0,0.9185245162095904,-21.60972963183655,-2.1659172280450733e-14,-2.1168366458577772e-14,21.964113226529143,0.16106281038728906,-0.04700416801313608,0.11405864237415297,1.9157817452098614e-07,0.45243447585761365,0.46608984877380216
0.0075,1.5,0.919094646517182,-21.85075647398054,-1.9215625767086316e-14,-1.9802543393765207e-14,22.19983173944544,0.15948569903839319,-0.04643892409021822,0.11304677494817497,1.1243568511902077e-07,0.4881191399647641,0.4309753941167329
0.005,1.0,0.9213540487680459,-22.14170300845531,-1.9189852240309997e-14,-1.8068555163004727e-14,22.48662394797044,0.15731409212184097,-0.04595568674187041,0.11135840537997056,3.80250645419798e-08,0.5242772146268064,0.3970767961161749
