resolution,time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
16,0.87,0.8629237635389765,-20.71224360406279,-3.4956996269130253e-10,-3.4957368743400753e-10,21.027826865713433,0.11183528738274331,-0.04303611377609359,0.06879917360664972,1.538702248709263e-05,0.6761312291202823,0.186777147396207
24,0.87,0.8833241339990482,-21.797635551628442,-8.685632276317608e-14,-8.713107613470748e-14,22.120624428233725,0.26536448509418203,-0.042624112787058854,0.22274037230712318,2.060328088679789e-05,0.4307916983666237,0.4525118323515378
32,0.87,0.9229443316938952,-22.247582603281476,-8.149329713354834e-15,-8.69672311801598e-15,22.591823212772663,0.1567402140901787,-0.04587059266247488,0.1108696214277038,2.4784929196271517e-08,0.534441133348536,0.3885031735604298
40,0.87,0.9191078832335341,-22.637922660717777,-9.762430575568446e-15,-9.294633823414578e-15,22.973417689175363,0.05692316869935824,-0.04450596589095887,0.01241720280839937,9.309529099158842e-09,0.43566711072297903,0.4834407632010259
