momentum,time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
2.0,0.6,0.9152588537313245,-22.70165088469033,-5.674680185282026e-15,-5.628964557646424e-15,23.03303400291784,0.16419551738938062,-0.04394963324701692,0.1202458841423637,1.1696911972563468e-08,0.6186163826159602,0.29664245941845235
3.0,0.6,0.9294276339185643,-22.56355650261764,-5.6243131688908335e-15,-6.046282062865584e-15,22.907455128582203,0.1558363996857001,-0.04581719633608057,0.11001920334961952,7.191620575120313e-09,0.5583892858786325,0.3710383408483111
4.0,0.6,0.9109998195649714,-22.7014916732108,-1.2199691908113854e-14,-1.2926024760162099e-14,23.03070365927362,0.49409551728006607,-0.04348630102890234,0.45060921625116374,1.0450550809555843e-05,0.63075661059551,0.28023275841865175
